id,sales_hat
1226_2024-06-03,3.0091372
1226_2024-06-11,21.846508
1226_2024-06-13,17.855267
1226_2024-06-15,17.628735
1226_2024-06-09,-0.101122856
1226_2024-06-09,-0.10109234
1226_2024-06-06,-0.5409727
1226_2024-06-12,19.5695
1226_2024-06-05,0.90464497
1226_2024-06-04,1.9345217
1226_2024-06-04,1.9413881
1226_2024-06-08,0.612195
1226_2024-06-08,0.61207294
1226_2024-06-07,-1.827838
1226_2024-06-14,15.911359
1226_2024-06-16,15.837415
1226_2024-06-10,23.663158
1226_2024-06-10,23.66328
5409_2024-06-08,1.9323549
5409_2024-06-15,2.5449343
5409_2024-06-12,3.10246
5409_2024-06-03,2.4762697
5409_2024-06-09,4.111249
5409_2024-06-09,4.111432
5409_2024-06-13,6.3674746
5409_2024-06-10,3.318097
5409_2024-06-06,4.9079103
5409_2024-06-11,2.3541384
5409_2024-06-07,7.821393
5409_2024-06-14,7.3466005
5409_2024-06-05,2.0030031
5409_2024-06-04,0.96159077
5409_2024-06-04,0.9728823
1268_2024-06-14,6.2456484
1268_2024-06-14,6.245679
1268_2024-06-13,7.4631777
1268_2024-06-15,7.426038
1268_2024-06-11,10.379071
1268_2024-06-06,7.458112
1268_2024-06-06,7.4582033
1268_2024-06-12,8.855664
1268_2024-06-16,6.153882
1268_2024-06-09,6.161725
1268_2024-06-05,8.904431
1268_2024-06-08,7.4759645
1268_2024-06-08,7.4759035
1268_2024-06-07,6.2390566
1268_2024-06-04,10.410474
1268_2024-06-04,10.403089
1268_2024-06-03,11.400174
1268_2024-06-10,11.8430605
1268_2024-06-10,11.843076
1531_2024-06-16,4.319165
1531_2024-06-16,4.3192873
1531_2024-06-05,-2.9929686
1531_2024-06-12,-1.752368
1531_2024-06-06,-0.35106182
1531_2024-06-04,-2.4863462
1531_2024-06-04,-2.4864073
1531_2024-06-04,-2.2033567
1531_2024-06-09,3.5073366
1531_2024-06-11,-1.5228453
1531_2024-06-07,6.282483
1531_2024-06-10,-0.20289898
1531_2024-06-03,-1.3333006
1531_2024-06-03,-1.3332701
1531_2024-06-13,-0.039294243
1531_2024-06-15,3.586072
1531_2024-06-08,2.9093447
1531_2024-06-14,6.138318
1531_2024-06-14,6.138196
655_2024-06-11,11.903729
655_2024-06-05,10.284238
655_2024-06-13,9.613355
655_2024-06-12,10.723996
655_2024-06-04,11.873578
655_2024-06-04,11.873548
655_2024-06-04,11.933316
655_2024-06-16,9.584821
655_2024-06-15,9.431851
655_2024-06-06,9.175672
655_2024-06-09,9.645215
655_2024-06-09,9.645154
655_2024-06-07,9.356244
655_2024-06-10,12.596097
655_2024-06-08,9.4637575
655_2024-06-14,9.141919
655_2024-06-03,12.497403
655_2024-06-03,12.497373
5142_2024-06-04,5.6610384
5142_2024-06-04,5.6227236
5142_2024-06-08,0.30822468
5142_2024-06-10,8.427838
5142_2024-06-09,-0.11107159
5142_2024-06-03,8.035184
5142_2024-06-03,8.035199
5142_2024-06-13,2.226636
5142_2024-06-05,3.7234163
5142_2024-06-06,2.0084352
5142_2024-06-14,0.020825386
5142_2024-06-12,3.9468813
5142_2024-06-11,6.030011
5142_2024-06-16,0.17475605
5142_2024-06-07,0.09180927
5142_2024-06-15,0.55775166
5142_2024-06-15,0.55767536
4072_2024-06-04,7.4212465
4072_2024-06-04,7.309308
4072_2024-06-08,2.8280153
4072_2024-06-03,8.70387
4072_2024-06-10,8.372022
4072_2024-06-10,8.371961
4072_2024-06-14,2.0973024
4072_2024-06-12,5.9767885
4072_2024-06-13,4.6655397
4072_2024-06-05,6.3855104
4072_2024-06-15,2.7411013
4072_2024-06-15,2.7410402
4072_2024-06-16,1.5129519
4072_2024-06-09,1.7558718
4072_2024-06-11,7.0493593
4072_2024-06-07,2.264905
4072_2024-06-07,2.264783
4072_2024-06-06,4.92439
2163_2024-06-08,5.2307863
2163_2024-06-16,6.149884
2163_2024-06-06,5.160321
2163_2024-06-04,8.487409
2163_2024-06-04,8.4875
2163_2024-06-04,8.382703
2163_2024-06-14,2.9086123
2163_2024-06-15,4.9962587
2163_2024-06-12,7.042096
2163_2024-06-05,6.9547243
2163_2024-06-05,6.954755
2163_2024-06-10,8.905103
2163_2024-06-10,8.905042
2163_2024-06-09,6.1974306
2163_2024-06-11,8.157239
2163_2024-06-03,8.919721
2163_2024-06-07,2.5544558
2163_2024-06-07,2.5544863
2163_2024-06-13,4.7403383
2829_2024-06-03,-1.4793272
2829_2024-06-13,14.88844
2829_2024-06-08,-4.9722166
2829_2024-06-06,-5.785632
2829_2024-06-06,-5.7857237
2829_2024-06-09,-5.701709
2829_2024-06-12,17.116802
2829_2024-06-04,-3.165576
2829_2024-06-04,-3.3455076
2829_2024-06-16,13.783643
2829_2024-06-07,-7.0345945
2829_2024-06-14,12.544934
2829_2024-06-15,15.302594
2829_2024-06-05,-4.5710936
2829_2024-06-11,-2.9289732
2829_2024-06-10,-1.6554747
2091_2024-06-11,8.221082
2091_2024-06-03,9.683087
2091_2024-06-10,9.107587
2091_2024-06-10,9.107617
2091_2024-06-12,6.6804934
2091_2024-06-13,4.4934206
834_2024-06-06,0.9561281
834_2024-06-11,4.228101
834_2024-06-07,0.79557514
834_2024-06-14,0.60685444
834_2024-06-03,6.203046
834_2024-06-16,2.7741823
834_2024-06-05,1.5864382
834_2024-06-05,1.5864992
834_2024-06-08,2.3529177
834_2024-06-08,2.3529787
834_2024-06-13,1.6873293
834_2024-06-12,2.1012697
834_2024-06-15,2.771863
834_2024-06-10,6.981351
834_2024-06-10,6.9813356
834_2024-06-09,2.2902346
834_2024-06-04,3.4612246
834_2024-06-04,3.3829775
5239_2024-06-06,10.129727
5239_2024-06-13,9.375592
5239_2024-06-04,12.137601
5239_2024-06-04,12.137631
5239_2024-06-04,12.166936
5239_2024-06-12,10.507199
5239_2024-06-07,1.7313509
5239_2024-06-08,9.547193
5239_2024-06-15,11.025571
5239_2024-06-15,11.025525
5239_2024-06-10,13.618665
5239_2024-06-11,11.406659
5239_2024-06-03,13.738416
5239_2024-06-14,10.112897
5239_2024-06-05,5.1749697
5239_2024-06-05,5.1750307
5239_2024-06-09,6.514127
4536_2024-06-08,8.83064
4536_2024-06-11,9.208264
4536_2024-06-09,7.7784853
4536_2024-06-09,7.7784243
4536_2024-06-16,7.8106813
4536_2024-06-06,10.221997
4536_2024-06-04,7.4570436
4536_2024-06-04,7.7099123
4536_2024-06-10,10.052167
4536_2024-06-03,8.200513
4536_2024-06-15,8.862073
4536_2024-06-05,8.896497
4536_2024-06-14,8.736127
4536_2024-06-12,9.896802
4536_2024-06-12,9.896771
4536_2024-06-07,8.610669
4536_2024-06-07,8.610639
5358_2024-06-11,13.181668
5358_2024-06-14,9.731519
5358_2024-06-09,9.266309
5358_2024-06-12,12.554959
5358_2024-06-12,12.554944
5358_2024-06-08,10.533032
5358_2024-06-05,12.57591
5358_2024-06-10,12.931882
5358_2024-06-13,11.201001
5358_2024-06-04,12.961789
5358_2024-06-04,12.96182
5358_2024-06-04,13.192288
5358_2024-06-07,9.716626
5358_2024-06-06,11.182141
5358_2024-06-03,12.916913
2764_2024-06-16,12.495954
2764_2024-06-13,16.82832
2764_2024-06-05,17.903118
2764_2024-06-06,16.74081
2764_2024-06-11,18.913021
2764_2024-06-10,19.663921
2764_2024-06-10,19.663937
2764_2024-06-09,12.422208
2764_2024-06-15,12.192029
2764_2024-06-03,19.685772
2764_2024-06-12,17.805279
2764_2024-06-12,17.805264
2764_2024-06-07,15.4602785
2764_2024-06-04,19.031994
2764_2024-06-04,19.001797
2764_2024-06-14,15.538312
2764_2024-06-08,12.267575
3259_2024-06-14,17.529247
3259_2024-06-14,17.529125
3259_2024-06-12,23.438488
3259_2024-06-16,20.238628
3259_2024-06-09,20.42796
3259_2024-06-03,26.749615
3259_2024-06-11,25.21751
3259_2024-06-11,25.21745
3259_2024-06-05,24.012981
3259_2024-06-08,22.294964
3259_2024-06-10,26.124554
3259_2024-06-06,21.643261
3259_2024-06-06,21.643414
3259_2024-06-15,21.975262
3259_2024-06-13,21.203533
3259_2024-06-07,17.85902
3259_2024-06-04,25.81474
3259_2024-06-04,25.691906
1481_2024-06-15,11.614606
1481_2024-06-15,11.614591
1481_2024-06-13,11.9333315
1481_2024-06-10,13.783261
1481_2024-06-08,11.582868
1481_2024-06-03,13.606778
1481_2024-06-03,13.606809
1481_2024-06-09,11.235318
1481_2024-06-14,12.369519
1481_2024-06-11,13.013852
1481_2024-06-12,12.385831
